enrollment_id,code_module,code_presentation,imd_band,num_of_prev_attempts,studied_credits,final_result,id_student
0,AAA,2013J,90-100%,0,240,Pass,11391
1,AAA,2013J,20-30%,0,60,Pass,28400
2,AAA,2013J,30-40%,0,60,Withdrawn,30268
3,AAA,2013J,50-60%,0,60,Pass,31604
4,AAA,2013J,50-60%,0,60,Pass,32885
5,AAA,2013J,80-90%,0,60,Pass,38053
6,AAA,2013J,30-40%,0,60,Pass,45462
7,AAA,2013J,90-100%,0,120,Pass,45642
8,AAA,2013J,70-80%,0,90,Pass,52130
9,AAA,2013J,,0,60,Pass,53025
10,AAA,2013J,70-80%,0,60,Pass,57506
11,AAA,2013J,20-30%,0,60,Pass,58873
12,AAA,2013J,60-70%,0,60,Pass,59185
13,AAA,2013J,50-60%,0,60,Pass,62155
14,AAA,2013J,40-50%,0,60,Pass,63400
15,AAA,2013J,70-80%,0,60,Withdrawn,65002
16,AAA,2013J,60-70%,0,60,Pass,70464
17,AAA,2013J,,0,60,Pass,71361
18,AAA,2013J,10-20,0,150,Fail,74372
19,AAA,2013J,30-40%,0,60,Pass,75091
20,AAA,2013J,30-40%,0,60,Pass,77367
21,AAA,2013J,0-10%,0,60,Pass,91265
22,AAA,2013J,70-80%,0,60,Withdrawn,94961
23,AAA,2013J,70-80%,0,60,Pass,98094
24,AAA,2013J,20-30%,0,60,Pass,100893
25,AAA,2013J,80-90%,0,60,Pass,101781
26,AAA,2013J,30-40%,0,60,Pass,102806
27,AAA,2013J,60-70%,0,60,Pass,102952
28,AAA,2013J,,0,60,Pass,104476
29,AAA,2013J,80-90%,0,60,Withdrawn,106247
30,AAA,2013J,20-30%,0,60,Pass,106577
31,AAA,2013J,80-90%,0,60,Pass,110175
32,AAA,2013J,90-100%,0,60,Pass,111717
33,AAA,2013J,60-70%,0,60,Pass,113295
34,AAA,2013J,,0,60,Pass,114017
35,AAA,2013J,60-70%,0,60,Pass,114999
36,AAA,2013J,0-10%,0,60,Pass,116541
37,AAA,2013J,70-80%,0,60,Pass,116692
38,AAA,2013J,30-40%,0,120,Pass,118983
39,AAA,2013J,40-50%,0,60,Pass,123044
40,AAA,2013J,40-50%,0,180,Pass,127582
41,AAA,2013J,50-60%,0,60,Withdrawn,129955
42,AAA,2013J,80-90%,0,120,Pass,132976
43,AAA,2013J,90-100%,0,60,Distinction,134143
44,AAA,2013J,20-30%,0,180,Withdrawn,135335
45,AAA,2013J,90-100%,0,60,Withdrawn,135400
46,AAA,2013J,40-50%,0,60,Pass,137873
47,AAA,2013J,30-40%,0,240,Pass,141355
48,AAA,2013J,90-100%,0,345,Withdrawn,141377
49,AAA,2013J,50-60%,0,60,Pass,142326
50,AAA,2013J,80-90%,0,60,Pass,144801
51,AAA,2013J,60-70%,0,120,Pass,145130
52,AAA,2013J,20-30%,0,60,Fail,146188
53,AAA,2013J,60-70%,0,120,Fail,147756
54,AAA,2013J,80-90%,0,90,Withdrawn,147793
55,AAA,2013J,30-40%,0,60,Withdrawn,148993
56,AAA,2013J,80-90%,0,150,Pass,151358
57,AAA,2013J,0-10%,0,420,Pass,155550
58,AAA,2013J,20-30%,0,60,Pass,155854
59,AAA,2013J,70-80%,0,60,Withdrawn,155984
60,AAA,2013J,90-100%,0,60,Pass,157568
61,AAA,2013J,40-50%,0,60,Withdrawn,159954
62,AAA,2013J,70-80%,0,60,Pass,164259
63,AAA,2013J,40-50%,0,60,Pass,167906
64,AAA,2013J,10-20,0,60,Pass,168936
65,AAA,2013J,,0,60,Pass,172112
66,AAA,2013J,,0,60,Pass,172797
67,AAA,2013J,90-100%,0,60,Pass,174782
68,AAA,2013J,,0,60,Pass,175392
69,AAA,2013J,70-80%,0,60,Pass,175932
70,AAA,2013J,80-90%,0,180,Fail,175991
71,AAA,2013J,30-40%,0,120,Pass,180753
72,AAA,2013J,80-90%,0,120,Withdrawn,181316
73,AAA,2013J,60-70%,0,60,Pass,183096
74,AAA,2013J,10-20,0,180,Pass,183947
75,AAA,2013J,80-90%,0,170,Pass,184271
76,AAA,2013J,10-20,0,120,Fail,185439
77,AAA,2013J,30-40%,0,60,Pass,186149
78,AAA,2013J,50-60%,0,60,Distinction,187100
79,AAA,2013J,70-80%,0,120,Withdrawn,188278
80,AAA,2013J,90-100%,0,120,Pass,189879
81,AAA,2013J,90-100%,0,60,Pass,192183
82,AAA,2013J,90-100%,0,60,Withdrawn,195262
83,AAA,2013J,50-60%,0,60,Pass,200860
84,AAA,2013J,30-40%,0,60,Withdrawn,202635
85,AAA,2013J,80-90%,0,60,Pass,205350
86,AAA,2013J,40-50%,0,90,Fail,205719
87,AAA,2013J,10-20,0,60,Distinction,227499
88,AAA,2013J,,0,180,Fail,227517
89,AAA,2013J,60-70%,0,60,Pass,228082
90,AAA,2013J,50-60%,0,60,Pass,228222
91,AAA,2013J,20-30%,0,60,Pass,229179
92,AAA,2013J,50-60%,0,60,Pass,229361
93,AAA,2013J,40-50%,0,240,Pass,231554
94,AAA,2013J,90-100%,0,240,Withdrawn,235507
95,AAA,2013J,90-100%,0,60,Pass,236284
96,AAA,2013J,90-100%,0,60,Pass,238007
97,AAA,2013J,80-90%,0,80,Pass,240712
98,AAA,2013J,90-100%,0,120,Pass,240884
99,AAA,2013J,90-100%,0,60,Pass,241649
100,AAA,2013J,60-70%,0,60,Fail,241729
101,AAA,2013J,20-30%,0,60,Pass,242793
102,AAA,2013J,90-100%,0,60,Pass,246834
103,AAA,2013J,20-30%,0,90,Pass,248270
104,AAA,2013J,20-30%,0,60,Pass,255548
105,AAA,2013J,10-20,0,120,Pass,256815
106,AAA,2013J,30-40%,0,60,Pass,258392
107,AAA,2013J,70-80%,0,60,Pass,258894
108,AAA,2013J,80-90%,0,60,Withdrawn,260355
109,AAA,2013J,20-30%,0,60,Pass,262011
110,AAA,2013J,30-40%,0,60,Pass,262934
111,AAA,2013J,10-20,0,90,Fail,268073
112,AAA,2013J,30-40%,0,180,Withdrawn,268733
113,AAA,2013J,80-90%,0,60,Pass,271251
114,AAA,2013J,60-70%,0,60,Withdrawn,277880
115,AAA,2013J,40-50%,0,60,Distinction,279572
116,AAA,2013J,30-40%,0,150,Pass,281022
117,AAA,2013J,70-80%,0,60,Fail,281250
118,AAA,2013J,30-40%,0,60,Fail,281589
119,AAA,2013J,30-40%,0,60,Pass,282821
120,AAA,2013J,90-100%,0,60,Pass,286488
121,AAA,2013J,90-100%,0,120,Pass,287548
122,AAA,2013J,20-30%,0,60,Pass,290201
123,AAA,2013J,30-40%,0,60,Pass,290757
124,AAA,2013J,90-100%,0,60,Distinction,291334
125,AAA,2013J,90-100%,0,180,Withdrawn,292923
126,AAA,2013J,70-80%,0,120,Pass,293699
127,AAA,2013J,90-100%,0,60,Pass,294570
128,AAA,2013J,90-100%,0,60,Pass,294594
129,AAA,2013J,40-50%,0,240,Fail,295741
130,AAA,2013J,90-100%,0,60,Distinction,296332
131,AAA,2013J,80-90%,0,60,Pass,298696
132,AAA,2013J,30-40%,0,60,Pass,300398
133,AAA,2013J,40-50%,0,60,Fail,302302
134,AAA,2013J,70-80%,0,60,Fail,305152
135,AAA,2013J,70-80%,0,120,Pass,305386
136,AAA,2013J,80-90%,0,120,Withdrawn,305539
137,AAA,2013J,50-60%,0,120,Pass,306107
138,AAA,2013J,90-100%,0,60,Pass,306466
139,AAA,2013J,10-20,0,60,Pass,306897
140,AAA,2013J,10-20,0,60,Pass,307061
141,AAA,2013J,70-80%,0,60,Pass,307866
142,AAA,2013J,60-70%,0,120,Pass,311917
143,AAA,2013J,90-100%,0,60,Distinction,312537
144,AAA,2013J,90-100%,0,60,Pass,312782
145,AAA,2013J,80-90%,0,120,Pass,318933
146,AAA,2013J,50-60%,0,60,Pass,319047
147,AAA,2013J,90-100%,0,60,Pass,321942
148,AAA,2013J,40-50%,0,60,Pass,324002
149,AAA,2013J,10-20,0,60,Pass,324084
150,AAA,2013J,90-100%,0,120,Pass,324282
151,AAA,2013J,90-100%,0,60,Withdrawn,331358
152,AAA,2013J,60-70%,0,60,Pass,332789
153,AAA,2013J,20-30%,0,120,Pass,333059
154,AAA,2013J,80-90%,0,60,Pass,333323
155,AAA,2013J,50-60%,0,150,Fail,334259
156,AAA,2013J,0-10%,0,240,Withdrawn,334333
157,AAA,2013J,20-30%,0,60,Withdrawn,335764
158,AAA,2013J,90-100%,0,120,Pass,336207
159,AAA,2013J,80-90%,0,60,Pass,339972
160,AAA,2013J,40-50%,0,180,Fail,341872
161,AAA,2013J,70-80%,0,60,Withdrawn,342007
