id_student,gender,region,highest_education,disability,age_band
3733,M,South Region,HE Qualification,N,55<=
6516,M,Scotland,HE Qualification,N,55<=
8462,M,London Region,HE Qualification,N,55<=
11391,M,East Anglian Region,HE Qualification,N,55<=
23629,F,East Anglian Region,Lower Than A Level,N,0-34
23632,F,East Anglian Region,A Level or Equivalent,N,0-34
23698,F,East Anglian Region,A Level or Equivalent,N,0-34
23798,M,Wales,A Level or Equivalent,N,0-34
24186,F,Yorkshire Region,Lower Than A Level,Y,0-34
24213,F,East Anglian Region,A Level or Equivalent,N,0-34
24391,M,East Midlands Region,A Level or Equivalent,N,0-34
24734,F,South Region,Lower Than A Level,N,0-34
25107,F,East Anglian Region,Lower Than A Level,N,0-34
25150,M,North Western Region,HE Qualification,N,0-34
25261,F,Scotland,HE Qualification,N,0-34
25572,F,London Region,HE Qualification,N,0-34
25629,F,Scotland,Lower Than A Level,N,0-34
25997,F,London Region,A Level or Equivalent,N,0-34
26023,M,North Western Region,Lower Than A Level,N,35-54
26192,F,East Anglian Region,A Level or Equivalent,N,35-54
26211,F,London Region,HE Qualification,N,35-54
26247,M,South East Region,HE Qualification,N,35-54
26269,M,Yorkshire Region,Lower Than A Level,N,35-54
26315,F,East Anglian Region,Lower Than A Level,N,35-54
26677,M,West Midlands Region,A Level or Equivalent,N,0-34
26734,M,South West Region,A Level or Equivalent,Y,0-34
26915,M,Wales,Lower Than A Level,N,35-54
27116,M,Yorkshire Region,HE Qualification,N,0-34
27189,F,South Region,Lower Than A Level,N,35-54
27417,M,South West Region,Lower Than A Level,N,0-34
27457,F,South East Region,Lower Than A Level,N,35-54
27683,M,London Region,HE Qualification,N,0-34
27759,M,North Western Region,Lower Than A Level,Y,35-54
27780,M,Wales,A Level or Equivalent,N,0-34
27891,M,Scotland,Lower Than A Level,Y,0-34
27935,F,East Anglian Region,Lower Than A Level,Y,0-34
28046,F,Yorkshire Region,HE Qualification,N,35-54
28061,M,Yorkshire Region,Lower Than A Level,N,35-54
28149,M,East Anglian Region,A Level or Equivalent,N,35-54
28400,F,Scotland,HE Qualification,N,35-54
28418,F,West Midlands Region,A Level or Equivalent,N,0-34
28770,M,Scotland,Lower Than A Level,N,0-34
28787,M,South East Region,Lower Than A Level,N,35-54
28808,F,South Region,A Level or Equivalent,N,0-34
28897,M,South West Region,A Level or Equivalent,N,0-34
28952,F,Yorkshire Region,Lower Than A Level,N,0-34
29144,M,South Region,Lower Than A Level,N,0-34
29335,M,West Midlands Region,Lower Than A Level,N,0-34
29411,M,East Midlands Region,A Level or Equivalent,N,0-34
29420,M,Wales,A Level or Equivalent,N,0-34
29639,M,North Region,Lower Than A Level,N,0-34
29764,M,East Anglian Region,A Level or Equivalent,N,0-34
29769,M,East Midlands Region,A Level or Equivalent,N,0-34
29820,M,East Anglian Region,HE Qualification,N,0-34
29985,F,South Region,Lower Than A Level,N,0-34
30091,F,South West Region,A Level or Equivalent,Y,0-34
30096,M,East Anglian Region,HE Qualification,N,0-34
30268,F,North Western Region,A Level or Equivalent,Y,35-54
30531,M,East Anglian Region,Lower Than A Level,N,0-34
30549,M,South East Region,A Level or Equivalent,N,35-54
30850,F,Scotland,HE Qualification,N,35-54
31014,F,West Midlands Region,Lower Than A Level,N,35-54
31107,M,South West Region,Lower Than A Level,N,35-54
31161,M,South Region,Post Graduate Qualification,N,55<=
31173,M,North Western Region,A Level or Equivalent,N,35-54
31205,M,East Midlands Region,Lower Than A Level,Y,35-54
31269,F,East Midlands Region,A Level or Equivalent,N,35-54
31296,M,East Midlands Region,Lower Than A Level,N,0-34
31600,F,South West Region,A Level or Equivalent,N,0-34
31604,F,South East Region,A Level or Equivalent,N,35-54
31663,M,North Region,A Level or Equivalent,N,35-54
31849,F,South West Region,Lower Than A Level,N,35-54
32221,M,South Region,A Level or Equivalent,N,0-34
32239,F,London Region,A Level or Equivalent,N,0-34
32327,F,South West Region,Lower Than A Level,N,0-34
32553,M,North Western Region,A Level or Equivalent,N,0-34
32885,F,West Midlands Region,Lower Than A Level,N,0-34
32930,F,South Region,A Level or Equivalent,N,35-54
33387,M,Scotland,HE Qualification,N,0-34
33600,F,London Region,A Level or Equivalent,N,35-54
33666,F,London Region,A Level or Equivalent,N,0-34
33681,M,South East Region,A Level or Equivalent,Y,35-54
33796,M,East Anglian Region,Lower Than A Level,N,35-54
33897,M,West Midlands Region,Lower Than A Level,N,0-34
33915,F,South East Region,A Level or Equivalent,N,0-34
33930,F,South West Region,A Level or Equivalent,N,0-34
34068,M,Scotland,Lower Than A Level,N,0-34
34087,M,South East Region,A Level or Equivalent,Y,35-54
34229,F,Ireland,A Level or Equivalent,N,35-54
34293,M,West Midlands Region,Lower Than A Level,Y,0-34
34353,M,Scotland,A Level or Equivalent,Y,35-54
34431,F,Yorkshire Region,Lower Than A Level,N,0-34
34653,M,East Midlands Region,Lower Than A Level,N,0-34
34662,F,South West Region,A Level or Equivalent,N,35-54
34694,M,West Midlands Region,A Level or Equivalent,N,35-54
34731,M,East Anglian Region,A Level or Equivalent,N,0-34
34756,F,East Midlands Region,Lower Than A Level,N,0-34
34863,F,London Region,A Level or Equivalent,N,0-34
35001,F,East Midlands Region,Lower Than A Level,N,35-54
35340,M,South Region,A Level or Equivalent,N,0-34
35355,M,Wales,Lower Than A Level,N,35-54
