Registration_id,code_module,code_presentation,id_student,date_registration,date_unregistration
0,AAA,2013J,11391,-159.0,
1,AAA,2013J,28400,-53.0,
2,AAA,2013J,30268,-92.0,12.0
3,AAA,2013J,31604,-52.0,
4,AAA,2013J,32885,-176.0,
5,AAA,2013J,38053,-110.0,
6,AAA,2013J,45462,-67.0,
7,AAA,2013J,45642,-29.0,
8,AAA,2013J,52130,-33.0,
9,AAA,2013J,53025,-179.0,
10,AAA,2013J,57506,-103.0,
11,AAA,2013J,58873,-47.0,
12,AAA,2013J,59185,-59.0,
13,AAA,2013J,62155,-68.0,
14,AAA,2013J,63400,-67.0,
15,AAA,2013J,65002,-180.0,96.0
16,AAA,2013J,70464,-95.0,
17,AAA,2013J,71361,-130.0,
18,AAA,2013J,74372,-50.0,
19,AAA,2013J,75091,-107.0,
20,AAA,2013J,77367,-27.0,
21,AAA,2013J,91265,-31.0,
22,AAA,2013J,94961,-170.0,72.0
23,AAA,2013J,98094,-107.0,
24,AAA,2013J,100893,-62.0,
25,AAA,2013J,101781,-103.0,
26,AAA,2013J,102806,-107.0,
27,AAA,2013J,102952,-100.0,
28,AAA,2013J,104476,-109.0,
29,AAA,2013J,106247,5.0,175.0
30,AAA,2013J,106577,-107.0,
31,AAA,2013J,110175,-110.0,
32,AAA,2013J,111717,-43.0,
33,AAA,2013J,113295,-26.0,
34,AAA,2013J,114017,-29.0,
35,AAA,2013J,114999,-68.0,
36,AAA,2013J,116541,-68.0,
37,AAA,2013J,116692,-32.0,
38,AAA,2013J,118983,-99.0,
39,AAA,2013J,123044,-82.0,
40,AAA,2013J,127582,-31.0,
41,AAA,2013J,129955,-197.0,135.0
42,AAA,2013J,132976,-75.0,
43,AAA,2013J,134143,-96.0,
44,AAA,2013J,135335,-29.0,30.0
45,AAA,2013J,135400,-32.0,144.0
46,AAA,2013J,137873,-195.0,
47,AAA,2013J,141355,-61.0,
48,AAA,2013J,141377,-110.0,129.0
49,AAA,2013J,142326,-37.0,
50,AAA,2013J,144801,-67.0,
51,AAA,2013J,145130,-36.0,
52,AAA,2013J,146188,-132.0,
53,AAA,2013J,147756,-92.0,
54,AAA,2013J,147793,-138.0,58.0
55,AAA,2013J,148993,-174.0,158.0
56,AAA,2013J,151358,-44.0,
57,AAA,2013J,155550,-16.0,
58,AAA,2013J,155854,-54.0,
59,AAA,2013J,155984,-64.0,191.0
60,AAA,2013J,157568,-52.0,
61,AAA,2013J,159954,-46.0,123.0
62,AAA,2013J,164259,-64.0,
63,AAA,2013J,167906,-117.0,
64,AAA,2013J,168936,-32.0,
65,AAA,2013J,172112,-50.0,
66,AAA,2013J,172797,-45.0,
67,AAA,2013J,174782,-162.0,
68,AAA,2013J,175392,-195.0,
69,AAA,2013J,175932,-92.0,
70,AAA,2013J,175991,-57.0,
71,AAA,2013J,180753,-64.0,
72,AAA,2013J,181316,-39.0,60.0
73,AAA,2013J,183096,-128.0,
74,AAA,2013J,183947,-32.0,
75,AAA,2013J,184271,-74.0,
76,AAA,2013J,185439,-12.0,
77,AAA,2013J,186149,-109.0,
78,AAA,2013J,187100,-136.0,
79,AAA,2013J,188278,-57.0,60.0
80,AAA,2013J,189879,-180.0,
81,AAA,2013J,192183,-62.0,
82,AAA,2013J,195262,-45.0,185.0
83,AAA,2013J,200860,-54.0,
84,AAA,2013J,202635,-73.0,166.0
85,AAA,2013J,205350,-68.0,
86,AAA,2013J,205719,-51.0,
87,AAA,2013J,227499,-169.0,
88,AAA,2013J,227517,-172.0,
89,AAA,2013J,228082,-31.0,
90,AAA,2013J,228222,-108.0,
91,AAA,2013J,229179,-165.0,
92,AAA,2013J,229361,-58.0,
93,AAA,2013J,231554,-29.0,
94,AAA,2013J,235507,-79.0,109.0
95,AAA,2013J,236284,2.0,
96,AAA,2013J,238007,-151.0,
97,AAA,2013J,240712,-45.0,
98,AAA,2013J,240884,-47.0,
99,AAA,2013J,241649,-50.0,
100,AAA,2013J,241729,-31.0,
101,AAA,2013J,242793,-36.0,
102,AAA,2013J,246834,-16.0,
103,AAA,2013J,248270,-198.0,
104,AAA,2013J,255548,-103.0,
105,AAA,2013J,256815,-117.0,
106,AAA,2013J,258392,-68.0,
107,AAA,2013J,258894,-172.0,
108,AAA,2013J,260355,-186.0,170.0
109,AAA,2013J,262011,-145.0,
110,AAA,2013J,262934,-191.0,
111,AAA,2013J,268073,-33.0,
112,AAA,2013J,268733,-17.0,187.0
