id_site,code_module,code_presentation,activity_type,week_from,week_to
526721,FFF,2013B,homepage,,
526733,FFF,2013B,forumng,,
526735,FFF,2013B,forumng,,
526737,FFF,2013B,forumng,,
526738,FFF,2013B,forumng,,
526739,FFF,2013B,forumng,,
526740,FFF,2013B,glossary,,
526741,FFF,2013B,oucontent,,
526742,FFF,2013B,oucontent,,
526743,FFF,2013B,oucontent,,
526744,FFF,2013B,oucontent,,
526745,FFF,2013B,oucontent,,
526746,FFF,2013B,oucontent,,
526747,FFF,2013B,oucontent,,
526748,FFF,2013B,oucontent,,
526749,FFF,2013B,oucontent,,
526751,FFF,2013B,oucontent,,
526752,FFF,2013B,oucontent,,
526753,FFF,2013B,oucontent,,
526754,FFF,2013B,oucontent,,
526755,FFF,2013B,oucontent,1.0,1.0
526756,FFF,2013B,oucontent,1.0,1.0
526757,FFF,2013B,oucontent,,
526759,FFF,2013B,oucontent,,
526760,FFF,2013B,oucontent,,
526761,FFF,2013B,oucontent,,
526762,FFF,2013B,oucontent,,
526763,FFF,2013B,oucontent,,
526764,FFF,2013B,oucontent,,
526765,FFF,2013B,oucontent,,
526766,FFF,2013B,oucontent,,
526767,FFF,2013B,oucontent,,
526768,FFF,2013B,oucontent,,
526769,FFF,2013B,oucontent,,
526770,FFF,2013B,oucontent,,
526771,FFF,2013B,oucontent,,
526772,FFF,2013B,oucontent,,
526773,FFF,2013B,oucontent,,
526774,FFF,2013B,oucontent,,
526775,FFF,2013B,oucontent,,
526776,FFF,2013B,oucontent,,
526777,FFF,2013B,oucontent,,
526778,FFF,2013B,oucontent,,
526779,FFF,2013B,oucontent,,
526780,FFF,2013B,oucontent,,
526781,FFF,2013B,oucontent,,
526782,FFF,2013B,oucontent,,
526783,FFF,2013B,oucontent,,
526784,FFF,2013B,oucontent,,
526785,FFF,2013B,oucontent,,
526786,FFF,2013B,oucontent,,
526787,FFF,2013B,oucontent,,
526788,FFF,2013B,oucontent,2.0,2.0
526789,FFF,2013B,oucontent,,
526790,FFF,2013B,oucontent,,
526791,FFF,2013B,oucontent,,
526792,FFF,2013B,oucontent,,
526793,FFF,2013B,oucontent,,
526794,FFF,2013B,oucontent,,
526795,FFF,2013B,oucontent,,
526796,FFF,2013B,oucontent,,
526797,FFF,2013B,oucontent,,
526798,FFF,2013B,oucontent,,
526799,FFF,2013B,oucontent,,
526800,FFF,2013B,oucontent,,
526801,FFF,2013B,oucontent,,
526802,FFF,2013B,oucontent,,
526804,FFF,2013B,oucontent,,
526805,FFF,2013B,oucontent,,
526806,FFF,2013B,oucontent,,
526807,FFF,2013B,oucontent,,
526808,FFF,2013B,oucontent,,
526809,FFF,2013B,oucontent,,
526810,FFF,2013B,oucontent,,
526811,FFF,2013B,oucontent,,
526812,FFF,2013B,oucontent,,
526813,FFF,2013B,oucontent,,
526817,FFF,2013B,oucontent,,
526818,FFF,2013B,oucontent,,
526819,FFF,2013B,oucontent,,
526820,FFF,2013B,oucontent,,
526821,FFF,2013B,oucontent,,
526822,FFF,2013B,oucontent,,
526823,FFF,2013B,oucontent,,
526824,FFF,2013B,oucontent,,
526825,FFF,2013B,oucontent,,
526826,FFF,2013B,oucontent,,
526827,FFF,2013B,oucontent,,
526830,FFF,2013B,oucontent,,
526831,FFF,2013B,oucontent,,
526833,FFF,2013B,oucontent,,
526834,FFF,2013B,oucontent,,
526835,FFF,2013B,oucontent,,
526837,FFF,2013B,oucontent,,
526838,FFF,2013B,oucontent,2.0,2.0
526839,FFF,2013B,oucontent,,
526841,FFF,2013B,oucontent,,
526844,FFF,2013B,oucontent,,
526845,FFF,2013B,oucontent,3.0,3.0
526846,FFF,2013B,oucontent,,
526847,FFF,2013B,oucontent,,
526848,FFF,2013B,oucontent,,
526849,FFF,2013B,oucontent,,
526850,FFF,2013B,oucontent,,
526852,FFF,2013B,oucontent,,
526853,FFF,2013B,oucontent,,
526854,FFF,2013B,oucontent,,
526855,FFF,2013B,oucontent,1.0,1.0
526856,FFF,2013B,oucontent,,
526857,FFF,2013B,oucontent,1.0,1.0
526858,FFF,2013B,oucontent,,
526859,FFF,2013B,oucontent,,
526860,FFF,2013B,oucontent,,
526861,FFF,2013B,oucontent,,
526862,FFF,2013B,oucontent,,
527105,FFF,2013B,quiz,,
527106,FFF,2013B,quiz,,
527107,FFF,2013B,quiz,,
527108,FFF,2013B,quiz,,
527109,FFF,2013B,quiz,,
527111,FFF,2013B,quiz,,
527112,FFF,2013B,quiz,,
527113,FFF,2013B,quiz,,
527114,FFF,2013B,quiz,,
527115,FFF,2013B,quiz,,
527116,FFF,2013B,quiz,,
527117,FFF,2013B,questionnaire,,
527118,FFF,2013B,questionnaire,,
527119,FFF,2013B,questionnaire,,
527120,FFF,2013B,questionnaire,,
527121,FFF,2013B,questionnaire,,
527122,FFF,2013B,questionnaire,,
527123,FFF,2013B,questionnaire,,
527124,FFF,2013B,questionnaire,,
527125,FFF,2013B,questionnaire,,
527126,FFF,2013B,questionnaire,,
527127,FFF,2013B,questionnaire,,
527128,FFF,2013B,questionnaire,,
527129,FFF,2013B,questionnaire,,
527130,FFF,2013B,questionnaire,,
527131,FFF,2013B,page,,
527132,FFF,2013B,page,,
527133,FFF,2013B,page,,
527134,FFF,2013B,page,,
527135,FFF,2013B,page,,
527136,FFF,2013B,page,,
527137,FFF,2013B,page,,
527138,FFF,2013B,page,,
527139,FFF,2013B,page,,
527140,FFF,2013B,page,,
527141,FFF,2013B,page,,
527142,FFF,2013B,page,,
527144,FFF,2013B,page,,
527145,FFF,2013B,page,,
527146,FFF,2013B,page,,
527147,FFF,2013B,page,1.0,1.0
527148,FFF,2013B,page,,
527149,FFF,2013B,page,,
527150,FFF,2013B,page,,
527152,FFF,2013B,page,,
527153,FFF,2013B,page,,
527154,FFF,2013B,page,,
527155,FFF,2013B,page,,
527156,FFF,2013B,page,,
527157,FFF,2013B,page,,
527158,FFF,2013B,page,,
527160,FFF,2013B,ouwiki,,
527162,FFF,2013B,ouwiki,,
527163,FFF,2013B,ouwiki,,
527164,FFF,2013B,ouwiki,,
527165,FFF,2013B,ouwiki,,
527167,FFF,2013B,ouwiki,,
527169,FFF,2013B,subpage,,
527170,FFF,2013B,subpage,,
527171,FFF,2013B,subpage,,
527173,FFF,2013B,subpage,2.0,2.0
527174,FFF,2013B,subpage,3.0,3.0
527175,FFF,2013B,subpage,,
527176,FFF,2013B,subpage,4.0,4.0
527177,FFF,2013B,subpage,,
527178,FFF,2013B,subpage,,
527179,FFF,2013B,subpage,,
527180,FFF,2013B,subpage,,
527181,FFF,2013B,subpage,,
527182,FFF,2013B,subpage,,
527183,FFF,2013B,subpage,,
527184,FFF,2013B,subpage,,
527185,FFF,2013B,subpage,,
527186,FFF,2013B,subpage,,
527187,FFF,2013B,subpage,,
527188,FFF,2013B,subpage,,
527189,FFF,2013B,subpage,,
527190,FFF,2013B,subpage,,
527191,FFF,2013B,subpage,,
527192,FFF,2013B,subpage,,
527193,FFF,2013B,subpage,,
527194,FFF,2013B,subpage,,
527195,FFF,2013B,subpage,,
527196,FFF,2013B,subpage,,
527197,FFF,2013B,subpage,,
527198,FFF,2013B,subpage,,
527199,FFF,2013B,subpage,,
527203,FFF,2013B,subpage,,
527204,FFF,2013B,subpage,,
527205,FFF,2013B,subpage,,
527206,FFF,2013B,subpage,,
527207,FFF,2013B,subpage,,
527208,FFF,2013B,subpage,,
